Model_Name,Mean_SMAPE_Rank,Optimizer,Dataset,x,Model_Name_2
seq2seqwithdenselayer_mw_ERNN,1,Cocob,Tourism,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,5,Cocob,Tourism,y,S2SD_ERNN
stacking_GRU,32,Cocob,Tourism,y,Stacked_GRU
stacking_LSTM,28,Cocob,Tourism,y,Stacked_LSTM
stacking_ERNN,33,Cocob,Tourism,y,Stacked_ERNN
seq2seq_GRU,7,Adagrad,M4,y,S2S_GRU
seq2seq_LSTM,26,Adagrad,M4,y,S2S_LSTM
seq2seq_ERNN,30,Adagrad,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,1,Adagrad,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,5,Adagrad,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,2,Adagrad,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,4,Adagrad,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,3,Adagrad,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,6,Adagrad,M4,y,S2SD_ERNN
stacking_GRU,27,Adagrad,M4,y,Stacked_GRU
stacking_LSTM,21,Adagrad,M4,y,Stacked_LSTM
stacking_ERNN,32,Adagrad,M4,y,Stacked_ERNN
seq2seq_GRU,35,Adam,M4,y,S2S_GRU
seq2seq_LSTM,22,Adam,M4,y,S2S_LSTM
seq2seq_ERNN,19,Adam,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,16,Adam,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,20,Adam,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,15,Adam,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,12,Adam,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,18,Adam,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,33,Adam,M4,y,S2SD_ERNN
stacking_GRU,31,Adam,M4,y,Stacked_GRU
stacking_LSTM,28,Adam,M4,y,Stacked_LSTM
stacking_ERNN,34,Adam,M4,y,Stacked_ERNN
seq2seq_GRU,11,Cocob,M4,y,S2S_GRU
seq2seq_LSTM,24,Cocob,M4,y,S2S_LSTM
seq2seq_ERNN,17,Cocob,M4,y,S2S_ERNN
seq2seqwithdenselayer_mw_GRU,9,Cocob,M4,y,S2SD_GRU
seq2seqwithdenselayer_nmw_GRU,14,Cocob,M4,y,S2SD_GRU
seq2seqwithdenselayer_mw_LSTM,10,Cocob,M4,y,S2SD_LSTM
seq2seqwithdenselayer_nmw_LSTM,13,Cocob,M4,y,S2SD_LSTM
seq2seqwithdenselayer_mw_ERNN,23,Cocob,M4,y,S2SD_ERNN
seq2seqwithdenselayer_nmw_ERNN,8,Cocob,M4,y,S2SD_ERNN
stacking_GRU,36,Cocob,M4,y,Stacked_GRU
stacking_LSTM,25,Cocob,M4,y,Stacked_LSTM
stacking_ERNN,29,Cocob,M4,y,Stacked_ERNN
